ID,Correction/update,v1.8.9.8.2 evidence,Status,Required follow-up,
BT-08,Apply governed date/number formatting once and remove duplicate final enforcement.,"applyGovernedTextAndNumberFormats_ exists, but enforceTemplateDateAndNumberFormats_ remains declared and referenced by an active template path.",Partially addressed,Trace the two calls at runtime and remove one only after proving format parity and caller safety.,Resolution: Delete enforceTemplateDateAndNumberFormats_() completely. Ensure applyGovernedTextAndNumberFormats_() handles date and plain-text (@) formatting during the single baseline build pass.
BT-10,Retire dynamic/FIXED row-buffer calculations in favor of the canonical 100-row baseline.,"The canonical build forces 100 rows, but resolveTemplateRowCount_ remains declared and is still referenced by other template paths.",Partially addressed,Consolidate all active template entry paths on the baseline policy or explicitly document the exceptions.,"Hardcode all template creation functions (buildTemplateFromDashboard_, updateBaseTemplateCanvas_) to use the strict 100 baseline row constant, and purge resolveTemplateRowCount_("
BT-11,Remove redundant full-data typography repaints and rely on golden-master inheritance.,"The golden master establishes global font, size, color, alignment, wrap, and plain-text format. However, updateBaseTemplateCanvas_ still applies full data-range font, size, alignment, borders, and per-column formats.",Partially addressed,Determine whether the base-sync workflow is an approved maintenance exception; otherwise remove inherited repaint work.,"Resolution: Strip .setFontFamily(), .setFontSize(), .setAlignment(), and .setWrapStrategy() loops from updateBaseTemplateCanvas_, relying 100% on native golden-master inheritance."
DE-04,Stamp first-seen disenrollment information without overwriting established history.,New append payloads receive the governed added label; existing historical rows are retained unless re-enrollment removes them.,Partially addressed,"The corrections describe a report-date stamp, while production writes a text label (Demo P MM.DD.YY); confirm this is the approved data contract.",Resolution: Standardize stampDisenrollmentReportDateInMemory_ to stamp empty cells with native JavaScript Date objects formatted as mm/dd/yyyy to ensure consistency with framework date standards.
DE-06,Handle missing/empty source safely.,"Public workflow and child helpers contain source guards, but full behavior depends on workbook state and prompts.",Runtime verification required,"Test missing Refined Data, no disenrollments, and an empty existing exclusion sheet.","Resolution: Add an explicit guard: If Refined Data is missing or empty, prompt the user via notify_() and gracefully output an uncorrupted, empty Disenrolled Exclusion canvas (Title rows + Header block only)."
DE-07,Use bulk append/write behavior without legacy multi-pass processing.,New rows are assembled in RAM and written with one setValues call; named legacy multi-pass functions are absent. A format-copy operation still runs after insertion.,Partially addressed,Remove the format brush only if template/native banding reliably extends after inserted rows.,"Resolution: Delete the post-insertion format brush. Allow inserted rows to inherit clean, unformatted properties from Template - Disenrolled Exclusion."
FM-06,"Preserve PMR, phone, ZIP, and other text-sensitive values through template plain-text inheritance.",The unified route writes to duplicated governed templates; the golden master establishes @ as the baseline.,Runtime verification required,Test leading-zero values and mixed numeric/text source cells in Google Sheets.,"Resolution: Ensure mapRowsToHeaders_ coerces PMRs, Phone numbers, and ZIP codes into string primitives before array mapping, preventing Google Sheets from dropping leading zeros or auto-formatting numbers during .setValues()."
MC-05,Assemble and write section blocks in memory with the standardized five-row block.,"Monthly Change has in-memory section assembly, but the new generic applySubHeaderBlock_ and replaceSectionDataInTemplate_ helpers have no callers. Existing report-specific writers remain.",Partially addressed,Route Monthly Change to the approved five-row helper or document why its report-specific implementation is equivalent.,"Resolution: Wire applySubHeaderBlock_ directly into Monthly Change section rendering, ensuring dynamic title bars (Offset 1) and column headers (Offset 3) apply Level 5 purple and Level 2 tint fills respectively."
ML-05,Use one canonical public route and purge dangling wrappers.,"Public routing is consolidated for current menus, and the independent Banner-map helper is removed. Some broad legacy helper inventory remains elsewhere in the script.",Partially addressed,Complete callback/dynamic-reference review before any further deletion.,"Resolution: Audit all caller paths, purge obsolete functions like buildBannerLookupMap_(), and ensure all Master List builds route strictly through buildMasterListFromRefinedData()."
PF-04,"Enforce an absolute Zero-Repaint law: no runtime background/font/width work except CP merge, 25px row height, and Section G hiding.","Active output/system/template paths still contain background/font work, contiguous width application, format copying, and Index-specific width operations.",Not addressed,"Narrow the rule to output hot paths and approved exceptions, or remove each remaining active operation after visual parity testing.","Resolution: Strip all runtime setColumnWidth calls, font styling, and fill applications from report generators. Restrict runtime formatting strictly to Care Plan C1:D1 merges, 25px row height locking, and Section G column hiding."
