Workflow,Sheet,Role,Source of data / copied from another sheet?,Processing performed,Columns populated by processing
Format Monthly Sheets,"B import (B, B <month>, or another B-prefixed import)",Input,"External monthly import; not copied from another workbook sheet by this workflow.","Selects the best route candidate; validates it as a Banner source; maps nonblank rows by matching headers; after successful output creation archives it as Source - Banners mm.yy and deletes the local import.","No columns written on the import. Supplies Last Name; First Name; Participant PMR#; Safety - 2 Person; Wanderer; Interpreter Needed; Fall Risk; DPOA or Guardian Active; Palliative Care."
Format Monthly Sheets,Banners monthly output,Output,"Yes; body data is header-mapped from the B import and structure/formatting is copied from Template - Banner Report.","Creates or replaces the monthly Banner report; stamps report dates; maps nonblank source rows by header; applies configured order and visibility; archives the source before local deletion.","Last Name; First Name; Participant PMR#; Safety - 2 Person; Wanderer; Interpreter Needed; Fall Risk; DPOA or Guardian Active; Palliative Care; title/date cells."
Format Monthly Sheets,"CD import (CD, CD <month>, or another CD-prefixed import)",Input,"External monthly import; source for CP Due output.","Reads start date from C3 and end date from E3; collects title information; reads the standard data body; maps rows to destination headers; archives and removes the source after successful output creation.","No columns written on the import. Supplies Participant Name; Enrollment Date; Last Care Plan; Next Care Plan Due; CP Type."
Format Monthly Sheets,CP Due monthly output,Output,"Yes; body data is header-mapped from the CD import and layout is copied from Template - Care Plan Due.","Creates or replaces the output; uses valid source dates or prompted-month fallback dates; maps rows by header; writes title information; locks row heights; applies visibility; archives/deletes the import.","Participant Name; Enrollment Date; Last Care Plan; Next Care Plan Due; CP Type; title/date cells; optional C1 title information."
Format Monthly Sheets,"UC import (UC, UC <month>, or another UC-prefixed import)",Input,"External monthly import; source for Unlock CP output.","Reads start date from E2 and end date from G2; collects title information; maps rows by header; archives and removes the source after successful output creation.","No columns written on the import. Supplies Participant Name; PMR #; IDT Meeting Date; Care Plan Start Date."
Format Monthly Sheets,Unlock CP monthly output,Output,"Yes; body data is header-mapped from the UC import and layout is copied from Template - Unlocked Care Plan.","Creates or replaces the output; writes source-derived or fallback dates; maps rows by header; writes title information; locks row heights; applies visibility; archives/deletes the import.","Participant Name; PMR #; IDT Meeting Date; Care Plan Start Date; title/date cells; optional C1 title information."
Format Monthly Sheets,RD import / formatted Raw Data sheet,Input and output,"External monthly import processed in place; no second output sheet is created.","Validates the PMR header; inserts title rows when needed; renames the import to the governed monthly Raw Data name; retains imported columns; adds governed columns; assigns primary PMR rows; synchronizes Banner fields; applies row heights/visibility; refreshes Index.","All original imported columns remain. Process populates Primary PMR Row and synchronizes Safety - 2 Person; Wanderer; Interpreter Needed; Fall Risk; DPOA or Guardian Active; Palliative Care when the monthly Banners report is available."
Format Monthly Sheets,"Source archive copies (Banners, CP Due, Unlocked CP)",Archive,"Yes; copied from the corresponding B/CD/UC import to the configured archive spreadsheet.","Preserves each original import before its local copy is deleted. Raw Data is excluded because it is formatted in place.","All original source columns; no new business-data columns."
Format Monthly Sheets,Index,Supporting output,"Derived from workbook sheet metadata; no participant rows are copied.","Raw Data formatting explicitly refreshes Index. Other outputs are placed in configured order; the batch does not perform another explicit final Index refresh.","Index/system metadata columns only."
Format Monthly Sheets,Framework Timing Report,Supporting output,"Generated from runtime telemetry; no participant-data source.","Records overall workflow timing plus completed, skipped, and per-route processing steps.","Timing/reporting fields such as workflow; step; duration; status/severity; details."
Create Monthly Start,Current-month Raw Data,Input,"Existing formatted Raw Data from Format Monthly Sheets.","Validates the selected month source and maps its rows by header into Demo P; Create Monthly Start does not rewrite Raw Data.","No columns written. Supplies existing Raw Data fields and Primary PMR Row to Demo P."
Create Monthly Start,Demo P,Output,"Yes; created from current Raw Data with layout/headers from Template - Demo P.","Maps Raw Data fields; builds participant/name fields and Banner Summary; combines addresses; normalizes language; splits phones; processes and flattens contacts; combines notes; fills update metadata; writes the template-based output and report dates.","Raw Data-derived demographic; address; contact; enrollment/disenrollment; caseload; important-information; Banner; Primary PMR Row fields. Derived: Banner Summary; Phone 1-4 Label/Value; Address 1 - Street; Custom Field 1 Label/Value; Notes; Contact - 1 through Contact - 8; Contact - Summary; Participant Name; Name; Demo P Update Status; Demo P Update Month; Demo P Source Sheet."
Create Monthly Start,Disenrolled Exclusion,Output/update,"Yes; receives matching rows from Demo P and uses Template - Disenrolled Exclusion if the sheet is absent.","Purges re-enrolled PMRs; identifies disenrolled PMRs; copies all their Demo P rows; sorts new rows newest-first; populates audit source/month; verifies copied and removed counts match; hides old exclusion rows.","All matching identity; address; phone; PMR; language; residence; notes; care-plan; enrollment/disenrollment; caseload; contact; Banner; raw-name/address fields from Demo P; framework-added source/month audit column."
Create Monthly Start,Demo P after disenrollment sweep,Updated output,"Rewritten from its own retained rows after excluded rows are copied successfully.","Removes every row belonging to disenrolled PMRs; clears the prior body and batch-writes retained active rows at the existing width.","No new columns; retains all existing Demo P columns for active PMRs."
Create Monthly Start,Master List monthly output,Output,"Yes; Primary PMR rows come from processed Demo P; care-plan enrichment comes from Unlock CP and CP Due; layout comes from Template - Master List.","Creates or stages a replacement canvas; copies template title/header/formatting; includes only Primary PMR rows; maps matching headers; synchronizes Unlock CP and CP Due fields; batch-writes, right-sizes, formats, and promotes the staged replacement when required.","From Demo P: Participant Name; Name; Preferred Name; Date of Birth; Address 1 - Street; City; State; Zip; Phone 1 - Value; Phone 2 - Value; Participant PMR#; Primary Language; Residence Type; Notes; Oxygen; caseload fields; Capitation Date; Enrollment Status; Primary PMR Row. From Unlock CP: Participant Name; PMR #; IDT Meeting Date; Care Plan Start Date. From CP Due: Enrollment Date; Last Care Plan; Next Care Plan Due; CP Type. Completed; Face Sheet; HHA; Equipment are template columns not explicitly populated by the monthly sync unless same-named source data exists."
Create Monthly Start,Unlock CP monthly sheet,Input,"Existing formatted UC output.","Read by PMR # to enrich matching Master List rows; skipped with notification if absent; not modified.","No columns written. Supplies Participant Name; PMR #; IDT Meeting Date; Care Plan Start Date."
Create Monthly Start,CP Due monthly sheet,Input,"Existing formatted CD output.","Read by Participant Name to enrich matching Master List rows; skipped with notification if absent; not modified.","No columns written. Supplies Enrollment Date; Last Care Plan; Next Care Plan Due; CP Type."
Create Monthly Start,Index,Supporting output,"Derived from workbook sheet metadata; no participant rows are copied.","Rebuilt after Demo P, Disenrolled Exclusion, and Master List processing; full-workbook sorting is skipped by design.","Index/system metadata columns only."
Create Monthly Start,Framework Timing Report,Supporting output,"Generated from runtime telemetry.","Records Demo P build; disenrollment copy/removal counts; Master List creation; Index refresh; completion status.","Timing/reporting fields such as workflow; step; duration; status/severity; details."
Create Monthly Update,Previous-month Raw Data,Input,"Existing previously formatted Raw Data.","Read and grouped by PMR as the before state for Monthly Change; not modified.","No columns written; existing Raw Data columns are compared."
Create Monthly Update,Current-month Raw Data,Input,"Existing current formatted Raw Data.","Provides the current state for Monthly Change and fresh replacement rows for changed PMRs in Demo P; protected from mutation.","No columns written; existing fields feed Monthly Change and Demo P replacement."
Create Monthly Update,Monthly Change monthly output,Output,"Yes; generated by comparing previous and current Raw Data; layout comes from Template - Monthly Change.","Classifies PMRs into Enrollments; Disenrollments; Demographic Changes; Caseload Changes; Contact Changes; Banner Summary Changes; Other Changes; creates section blocks; writes current rows; highlights changed columns; refreshes Index. No report is created if no qualifying changes exist.","Current Raw Data report columns. Tracked demographic fields; contact fields; caseload fields; Banner fields; Capitation Date; Enrollment Status; Disenrollment Date; Disenrollment Effective Date; Disenrollment Reason; Date of Death."
Create Monthly Update,Demo P monthly synchronization,Updated output,"Yes; existing Demo P is selectively refreshed from current Raw Data based on Monthly Change PMRs.","Requires Monthly Change; loads changed PMRs; builds fresh flattened rows; validates coverage; removes old matching rows; combines retained/fresh rows; archives replaced primary rows; writes the body; purges reactivated PMRs from Disenrolled Exclusion; updates dates and formatting. Leaves Demo P intact when no changed PMRs exist.","Fresh rows populate the same Raw Data-derived and Demo P-derived columns as Monthly Start: demographics; contacts; enrollment/disenrollment; caseload; Banner fields; Primary PMR Row; Banner Summary; split phones; combined address; contact summaries; participant/name fields; Demo P update metadata."
Create Monthly Update,Archive - Demo P,Archive,"Yes; receives old primary Demo P rows about to be replaced.","Saves replacement history before live Demo P mutation with reason Monthly Sync Replacement; workflow Create Monthly Update; month label; source sheet.","Archived Demo P row columns plus archive metadata including reason; workflow; month label; source sheet."
